neighborhood_municipality,total_partially_vaccinated,total_fully_vaccinated,total_fully_vaccinated_w_booster
Stanton Heights (Pittsburgh),358,1424,1842
St. Clair (Pittsburgh),23,81,39
Stowe,353,1872,1287
Strip District (Pittsburgh),332,802,627
Summer Hill (Pittsburgh),57,316,349
Swisshelm Park (Pittsburgh),107,442,566
Swissvale,666,2841,2507
Tarentum,235,1338,900
Terrace Village (Pittsburgh),235,717,335
Thornburg,39,144,201
Trafford,0,2,3
Troy Hill (Pittsburgh),253,1013,819
Turtle Creek,340,1575,1041
Undefined,165,679,577
Undefined (Pittsburgh),4,24,25
Upper Hill (Pittsburgh),180,640,499
Upper Lawrenceville (Pittsburgh),247,862,915
Upper Saint Clair,1954,7763,8499
Verona,158,888,648
Versailles,80,436,332
Wall,25,146,105
West Deer,806,3727,4124
West Elizabeth,24,148,73
West End (Pittsburgh),21,92,52
West Homestead,112,588,589
West Mifflin,1082,6179,5866
West Oakland (Pittsburgh),197,584,309
West View,427,2372,2146
Westwood (Pittsburgh),235,1151,1047
Whitaker,69,404,258
Whitehall,1054,5152,5573
White Oak,472,2404,2220
Wilkins,533,2072,2115
Wilkinsburg,1324,4726,3913
Wilmerding,95,507,269
Windgap (Pittsburgh),96,387,451
